Id,Date,Tweet,Location,Retweet Count,Favorite Count,Total Tweets Count,Sentiment Score,Sentiment,Positive Sentiment Score,Neutral Sentiment Score,Negative Sentiment Score
1.64422e+18,2023-04-07,❝I've gotta be special if you're lettin' me do this.❞ And she delivers a firm spank to that booty.,,0,1,1,[-0.06879467  0.94540596 -0.788572  ],Neutral,-0.788572,0.94540596,-0.06879467
1.64422e+18,2023-04-07,"Sticking with SicilysPizza. Just the right amount of grease, cheese, chewy crust, and a ton of crispy edged pepperoni. Washed down with an ice cold Corona. Pairing with feet up and a sporting event on the big screen. No crowd crush, din, or over rated atmosphere.",Alaska,0,0,1,[-2.0712042  0.6027733  1.685112 ],Positive,1.685112,0.6027733,-2.0712042
1.64422e+18,2023-04-07,"Enough to make up for those early flavour notes I don't like as much. The dried Montmorency cherries are chunky in size and chewy under tooth, adding a lovely fruity tang and texture. A totally enjoyable desserty treat!",,0,0,1,[-1.0894561  -0.11533613  1.515051  ],Positive,1.515051,-0.11533613,-1.0894561
1.64422e+18,2023-04-07,Chewy,,0,0,1,[-0.04822471  0.8162361  -0.70434785],Neutral,-0.70434785,0.8162361,-0.048224706
1.64422e+18,2023-04-07,luvraido1 - 🍅💥YUM YUM CHEWY CHEWY TOMATO💥🍅#shorts -,,0,0,1,[-2.2069743  1.4117818  0.858745 ],Neutral,0.858745,1.4117818,-2.2069743
1.64422e+18,2023-04-07,Delectable Chewy Oatmeal Cookies with Raisins and Crystallized Ginger - Beauty Cooks Kisses #lifestyle #news #bbcnat #Follow #happynewyear,,0,0,1,[-3.504959   1.3353758  2.0687697],Positive,2.0687697,1.3353758,-3.504959
1.64422e+18,2023-04-07,put more brown sugar in it. brown sugar give cookies the right chewy-ness,,0,0,1,[-2.4065943  1.0866044  1.3092169],Positive,1.3092169,1.0866044,-2.4065943
1.64422e+18,2023-04-07,🙏🙏🙏🙏,,0,0,1,[-2.2321358  0.6803303  1.6437778],Positive,1.6437778,0.6803303,-2.2321358
1.64422e+18,2023-04-07,so chewy and delicious,,0,0,1,[-2.2984762  -0.13003957  2.8135252 ],Positive,2.8135252,-0.13003957,-2.2984762
1.64422e+18,2023-04-07,🙏🙏🙏🙏,,0,0,1,[-2.2321358  0.6803303  1.6437778],Positive,1.6437778,0.6803303,-2.2321358
1.64421e+18,2023-04-07,"Here’s Jewell, we celebrated her birthday a little late. She enjoyed 7 boxes from Chewy , a treat, chicken. She’s a happy girl",,0,1,1,[-2.7362416  -0.43178022  3.9201446 ],Positive,3.9201446,-0.43178022,-2.7362416
1.64421e+18,2023-04-07,"chewy, and eric but not eric. HELP.",Indiana,0,1,1,[ 0.79746693  0.6753682  -1.4427841 ],Negative,-1.4427841,0.6753682,0.79746693
