Id,Date,Tweet,Location,Retweet Count,Favorite Count,Total Tweets Count,Sentiment Score,Sentiment,Positive Sentiment Score,Neutral Sentiment Score,Negative Sentiment Score
1.63577e+18,2023-03-14,you have the worst customer service. First you send the wrong products in autoship. I call to have it corrected and to send back the incorrect items and your rep hangs up on me 3 different times. Why does this department make things so difficult! #getittogether #DoBetter,Texas,0,0,1,[ 3.2532868  -0.61630195 -2.6091309 ],Negative,-2.6091309,-0.61630195,3.2532868
1.63577e+18,2023-03-14,nadie: yo: *llorando en petco pq extraño al toby*,,0,0,1,[-1.2759011  1.8015424 -0.3496216],Neutral,-0.3496216,1.8015424,-1.2759011
1.63577e+18,2023-03-14,Going to petco to debate the parrots,,0,2,1,[-2.0911348  1.4658148  0.5453609],Neutral,0.5453609,1.4658148,-2.0911348
1.63577e+18,2023-03-14,"My car ate dry food for 13 years. I started giving her canned from petco and she loved it. Now she turning her nose up to both. Once hunger sets in, she'll eat either.",,0,1,1,[ 0.62168247  0.27362514 -0.8623632 ],Negative,-0.8623632,0.27362514,0.62168247
1.63577e+18,2023-03-14,"Este miércoles 15 de marzo es un día muy especial, porque celebraremos el #DíadelHusky. 🥳🐕 ¡En Petco, tendremos ofertas en los productos ideales para estos amigos! 🤩🐾 Visítanos para festejar en nuestras tiendas, en la Petco App y en   🐶🎉",,0,0,1,[-3.518787   1.1149461  2.6637888],Positive,2.6637888,1.1149461,-3.518787
1.63576e+18,2023-03-14,"Nos fuimos a visitar la tienda #PETCOParqueTepeyac, entra al enlace para conocer los detalles de esta nueva tienda dedicada a las mascotas",,0,0,1,[-1.022956   1.7051563 -0.6325735],Neutral,-0.6325735,1.7051563,-1.022956
1.63576e+18,2023-03-14,I went to petco and bought my dog some stuff. I had to get him a little sweater and he looks so cute 🥹🐶🐾,,0,0,1,[-2.7141042 -0.5606833  4.123962 ],Positive,4.123962,-0.5606833,-2.7141042
1.63576e+18,2023-03-14,if dro kenji didnt make it as a rapper he would be a petco worker bro got like 50 cats😭,,0,1,1,[ 0.12946907  0.79231226 -0.7552678 ],Neutral,-0.7552678,0.79231226,0.12946907
1.63576e+18,2023-03-14,petco tank sale get on it,,0,0,1,[-1.8264565   1.4514298   0.42309356],Neutral,0.42309356,1.4514298,-1.8264565
1.63576e+18,2023-03-14,"Petco Park is fabulous: the food, fans, and location",,0,1,1,[-2.3179545 -0.8480247  4.0000153],Positive,4.0000153,-0.8480247,-2.3179545
1.63575e+18,2023-03-14,quiero una tortuga d petco,,0,0,1,[-0.5309365  1.1797054 -0.6109794],Neutral,-0.6109794,1.1797054,-0.5309365
1.63575e+18,2023-03-14,If i get many gerbils they must do this.,,0,0,1,[-1.321336    1.4296465   0.08343294],Neutral,0.083432935,1.4296465,-1.321336
1.63575e+18,2023-03-14,"Animals Frozen Alive, Crudely Gassed at Petco, PetSmart Suppli",,0,0,1,[-2.5716681  1.2790879  1.2632979],Neutral,1.2632979,1.2790879,-2.5716681
1.63575e+18,2023-03-14,they aren’t dogs but when my ferrets were babies i had to find toys they couldn’t rip apart and swallow.. their jaws are mega strong lol. i bought a bunch of these kevlar anti chew toys from petco and they held up best! they’re for any dog life stage,,0,1,1,[-2.2313323   0.16684379  2.5700054 ],Positive,2.5700054,0.16684379,-2.2313323
1.63574e+18,2023-03-14,en petco desestresando un poquite!!!,,0,1,1,[-0.9927102   1.116159    0.10622694],Neutral,0.10622694,1.116159,-0.9927102
1.63574e+18,2023-03-14,Idk I personally feel like I’ve botched every job interview I’ve ever had but they either take pity on me or don’t care or are in desperate need of someone so they hire me. The manager who hired me at petco basically told me she hired me to “give me a chance”💀,,0,5,1,[ 1.1888709   0.29932106 -1.4070121 ],Negative,-1.4070121,0.29932106,1.1888709
1.63573e+18,2023-03-14,petco mami,,0,0,1,[-0.35372037  0.96490633 -0.45228228],Neutral,-0.45228228,0.96490633,-0.35372037
1.63573e+18,2023-03-14,Clouds in a bottle were a success at Petco Park! The CAICE team was at the San Diego Festival of Science &amp; Engineering with some experiments and a fun way to teach aerosol science to kids is by making them see how they can easily form clouds inside a bottle. Great day!,California,4,10,5,[-2.7193134 -0.4580199  3.9473941],Positive,3.9473941,-0.4580199,-2.7193134
1.63573e+18,2023-03-14,Did Petco ever have the onion crank? I remember the Murph had them... but I think Petco only had the salad bar/bins type where you'd spoon them on.,,0,0,1,[-0.39683628  1.410299   -1.1922034 ],Neutral,-1.1922034,1.410299,-0.39683628
1.63573e+18,2023-03-14,Really hoping Petco gets back to me soon about a job,,0,0,1,[-3.2079144  0.7333795  2.6275487],Positive,2.6275487,0.7333795,-3.2079144
