Id,Date,Tweet,Location,Retweet Count,Favorite Count,Total Tweets Count,Sentiment Score,Sentiment,Positive Sentiment Score,Neutral Sentiment Score,Negative Sentiment Score
1.63E+18,2/22/2023,"Wholesome Story Of A Boy Whispering His Address To A Cat At The Pet Store Because His Mom Said No, Goes Viral Capturing The Hearts Of Over 200k Twitter Users #wholesome #cats",,0,2,1,[-1.7940508   0.97590894  0.92874163],Neutral,0.92874163,0.97590894,-1.7940508
1.63E+18,2/22/2023,Looking for a way to make a BIG impact in 2023? How about heading to your local to give your #BestFriend one of our #tastytreats? Pop on in and your pup will thank you. 🐶🙌,USA,0,0,1,[-3.5567992   0.39626235  3.4841423 ],Positive,3.4841423,0.39626235,-3.5567992
1.63E+18,2/22/2023,Buy petsmart futures quick! Tsunami of cats incoming!,,0,0,1,[-2.1343236  1.1768289  1.0978814],Neutral,1.0978814,1.1768289,-2.1343236
1.63E+18,2/22/2023,"Went to Petsmart to get stuff for our new pup who comes home tomorrow, and almost left with this curious little fella🥹🤣",,1,14,2,[-2.4356248   0.93479776  1.765833  ],Positive,1.765833,0.93479776,-2.4356248
1.63E+18,2/22/2023,I always get $PLTR &amp; $PTON mixed up. Probably because both were bought out by &amp; now sell dog food.,Michigan,0,0,1,[ 1.468431    0.41954178 -2.031597  ],Negative,-2.031597,0.41954178,1.468431
1.63E+18,2/22/2023,"I know you have a good Mommy, I wasn’t to worried about your treat!",Arizona,0,0,1,[-1.845865   0.2911651  1.8936462],Positive,1.8936462,0.2911651,-1.845865
1.63E+18,2/22/2023,"I was almost done, thank goodness. Mom gave me lots of treats during and after the bath!",Minnesota,0,1,1,[-2.8388052  -0.11378942  3.4921892 ],Positive,3.4921892,-0.11378942,-2.8388052
1.63E+18,2/22/2023,I’d call petsmart to see if can get one,,0,0,1,[-2.114095   1.7376881  0.3628326],Neutral,0.3628326,1.7376881,-2.114095
1.63E+18,2/22/2023,That's for certain. Not to mention their supposed Animal Hospital.,Kansas,0,0,1,[ 0.5127674   0.93708956 -1.4580644 ],Neutral,-1.4580644,0.93708956,0.5127674
1.63E+18,2/22/2023,Thank you!!! His name is Dunkin ❤️ he's our pride and joy! Thanks so much for your time and getting back to me 😁 Let me know if anything comes up!,Minnesota,0,0,1,[-2.7192152 -0.7641198  4.2459216],Positive,4.2459216,-0.7641198,-2.7192152
1.63E+18,2/22/2023,Working DoorDash today &amp; had to pick up an order in PetSmart. Worst fucking thing to go to after losing my dog today. It was so hard for me not to cry out in public.,,0,0,1,[ 2.8861837  -0.54134786 -2.29291   ],Negative,-2.29291,-0.54134786,2.8861837
1.63E+18,2/22/2023,Oh my goodness! 🥰 Such an adorable pup with their toy! We'd be happy to check at our office for any holiday toys left for you 😉 We will keep you updated!,,0,1,1,[-2.6284041  -0.61918706  4.1147604 ],Positive,4.1147604,-0.61918706,-2.6284041
1.63E+18,2/22/2023,"Wholesome Story Of A Boy Whispering His Address To A Cat At The Pet Store Because His Mom Said No, Goes Viral Capturing The Hearts Of Over 200k Twitter Users",,0,0,1,[-1.1730251   1.0563467   0.17771152],Neutral,0.17771152,1.0563467,-1.1730251
1.63E+18,2/22/2023,PetSmart playing Too Good to Say Goodbye 😭,,0,0,1,[-1.2927494  0.8919052  0.6304452],Neutral,0.6304452,0.8919052,-1.2927494
1.63E+18,2/22/2023,God I love her. Saw her doppelgänger at the local PetSmart this morning.,,0,1,1,[-2.4626672  -0.45940167  3.7685366 ],Positive,3.7685366,-0.45940167,-2.4626672
1.63E+18,2/22/2023,Looks like you are almost done ~ demanding treats is definitely in order! 🐾🦴♥️,Arizona,0,1,1,[-3.2147565  0.2395503  3.3469865],Positive,3.3469865,0.2395503,-3.2147565
1.63E+18,2/22/2023,Live sacrificing fido from petsmart is so much worse 😭,Georgia,0,0,1,[ 2.8589644 -0.346532  -2.5705743],Negative,-2.5705743,-0.346532,2.8589644
1.63E+18,2/22/2023,"(or bottom, as the case may be 😹)",Pennsylvania,0,1,1,[-0.04886432  1.4202921  -1.3505892 ],Neutral,-1.3505892,1.4202921,-0.048864316
1.63E+18,2/22/2023,Just want to give a big shout out to ! Had an issue last night and less than 24 hours later everything is completely resolved. The manager Tom was wonderful to speak with,,0,0,1,[-2.4277055 -0.2410266  3.2508347],Positive,3.2508347,-0.2410266,-2.4277055
1.63E+18,2/22/2023,My Dog Thinks My Chair Tastes Good 😂 #shorts #dog #puppy via,,0,1,1,[-3.1019406   0.25887853  3.4532254 ],Positive,3.4532254,0.25887853,-3.1019406
1.63E+18,2/22/2023,"It's not a profitable business. He pulled the rug and sold out for an extremely high price, and then Petsmart ended up dumping it's bag. Ryan is good at one thing, rug pulling. See BBBY situation",,0,0,1,[ 1.7991974   0.16547635 -2.113848  ],Negative,-2.113848,0.16547635,1.7991974
1.63E+18,2/22/2023,"if anyone wants to talk about bogus rewards systems, i currently have over 2000 petsmart points which is valued at $5",,0,0,1,[-0.6367524   1.2127674  -0.68417567],Neutral,-0.68417567,1.2127674,-0.6367524
1.63E+18,2/22/2023,Guinea pig at petsmart with #shorts via,,0,0,1,[-1.1123644   1.7951458  -0.75540537],Neutral,-0.75540537,1.7951458,-1.1123644
1.63E+18,2/22/2023,"My boy Nacho Grande, will eat his food in the bowl, will eat food off the floor. When he was at PetSmart, he would jump up in the second level cages and eat the other cats food when they let them out. He was 31 lb. He's lost about 10.",,0,1,1,[-0.6570598   0.7513718  -0.15177602],Neutral,-0.15177602,0.7513718,-0.6570598
1.63E+18,2/22/2023,We've got your back! 😊,,0,2,1,[-2.9701562   0.38122684  2.9205854 ],Positive,2.9205854,0.38122684,-2.9701562
